objectid;facilityid;legacyid;location;depthus;depthds;height;invertus;invertds;diameter;width;modifydate;material;form;pslope;adminarea;shape_len;operationalarea;owner
35677;EC_17;EC_17;;;;12;339.48001;339.04998;;13;2011-05-30 15:22:19+00:00;UNKNOWN;BOX;0.60194823;City;71.95074107;Ellerbe Creek;DOT-ROW
35676;EC_16;EC_16;;;;10;338.67999;338.42999;;12;2011-05-30 15:22:19+00:00;UNKNOWN;BOX;0.21754629;City;199.0235918;Ellerbe Creek;DOT-ROW
10675;18001-PP1;43B.59-PP1;NEW ROAD HICKORY GLEN SUBDIVISION;6.69999;6.69999;6.59999;306.92999;306.14999;;8;2007-11-07 17:15:38+00:00;METAL-CORRUGATED;ARCH;0.751;City;103.7457223;Little Lick Creek;CITY-ROW
34622;43582-PP1;DC.987-PP1;STONEYBROOK DR. AND CROASDAILE FARM PKWY.;7;7;6;392.88;393.1;72;;2000-09-01 01:38:00+00:00;METAL-CORRUGATED;CIRCULAR;-0.6;City;36.6706872;Eno River;PRIVATE
8290;08650-PP1;27X.3115-PP1;EXECUTIVE PARK NC54 & NC55;12;5;5;;254.97999;60;;2006-06-23 18:35:46+00:00;METAL-CORRUGATED;CIRCULAR;;City;188.9326234;Northeast Creek;PRIVATE
8719;14152-PP2;38X.3215-PP2;SOUTHPOINT MALL;22.9;6.9;5;288.6;292.85;60;;2006-09-06 17:43:01+00:00;METAL-CORRUGATED;CIRCULAR;-1.743;City;243.7484082;New Hope Creek;PRIVATE
34966;48217-PP1;X.10-PP1;GTE 4100 ROXBORO ST;;10;5;;375.79;60;;2010-03-01 15:22:12+00:00;CONCRETE;CIRCULAR;;City;6.603544503;Eno River;DOT-ROW
35365;45661-PP1;JP.160-PP1;GTE 4100 ROXBORO ST;10.5;12;5;375.29;371.79;60;;2010-03-01 15:22:12+00:00;CONCRETE;CIRCULAR;2.153;City;162.5427073;Eno River;DOT-ROW/PRIVATE
3216;16012-PP1;410A.192-PP1;NICHOLS FARM RD NEAR SOUTHSHORE PKWY;4.59999;4.59999;4.5;293.89999;294.14999;54;;2011-04-20 19:41:56+00:00;METAL-CORRUGATED;CIRCULAR;-0.171;City;145.0670031;Little Lick Creek;CITY-ROW
3361;07147-PP1;22D.807-PP1;PARKING LOT ON CORNER OF HUNT ST. AND FOSTER ST.;12.69999;13.69999;4.5;340.6;342.75;;5;2006-10-24 19:01:15+00:00;CONCRETE;BOX;-6.454;City;33.31637735;Ellerbe Creek;PRIVATE
9317;12392-PP1;36C.295-PP1;SHADY CREEK DR & ROXBORO ST;5.5;8.89999;4.5;247.25;247.02;54;;2002-09-17 12:34:54+00:00;CONCRETE;CIRCULAR;1.47;City;15.63965473;Third Fork Creek;PRIVATE
10647;22356-PP1;47E.370-PP1;DURHAM FREEWAY;9.89999;5;4.5;352.14001;350.02999;54;;2002-07-16 11:58:49+00:00;CONCRETE;CIRCULAR;2.026;City;104.0946286;Northeast Creek;DOT-ROW
7701;00672-PP1;111B.338-PP1;SWABIA CT & EMPEROR BD;;11.69999;4.5;;339.39999;60;;2010-01-08 16:05:31+00:00;CONCRETE;CIRCULAR;;City;38.83352289;Stirrup Iron Creek;DOT-ROW/PRIVATE
8406;02501-PP1;15B.32-PP1;UNIVERSITY + ARNOLD;5.9;;4.19999;334.57998;334.48001;;4.5;2013-03-06 15:38:14+00:00;CONCRETE;BOX;0.215;City;176.2504005;Third Fork Creek;DOT-ROW
8490;08535-PP1;26D.495-PP1;GEO KING RD & NC54;5.69999;;4;232.52999;;48;;2010-02-11 08:19:58+00:00;CONCRETE;CIRCULAR;;City;111.6352476;Little Creek;DOT-ROW
8039;18217-PP1;43F.63-PP1;NORTH DURHAM WATER REC. FAC.;9.8;7.69999;4;274.89999;274.01998;48;;2001-09-20 17:53:10+00:00;CONCRETE;CIRCULAR;0.765;City;115.0837664;Ellerbe Creek;CITY
9755;11817-PP1;34C.293-PP1;3200 MARYWOOD;4;4;4;383.67999;379.57998;48;;2009-04-02 20:08:37+00:00;METAL-CORRUGATED;CIRCULAR;4.19;City;97.84481846;Eno River;CITY-ROW
10663;13805-PP1;38E.1366-PP1;GRANDOVER RD;5.4;7.09999;4;271.75;271.33999;48;;2002-11-27 08:50:09+00:00;CONCRETE;CIRCULAR;0.696;City;58.804249;Northeast Creek;PRIVATE
33864;41540-PP1;92D.17-PP1;MORNING GLORY AVE AND BELT ST;;5;4;;353.48999;42;;2011-08-10 18:19:58+00:00;CONCRETE;CIRCULAR;;City;114.406051;Ellerbe Creek;PRIVATE
34646;00932-PP1;12D.3-PP1;TAYLOR + ELM ST;4.8;4.8;4;347.64001;347.23001;48;;2006-06-20 13:28:59+00:00;CONCRETE;CIRCULAR;1.009;City;40.5123438;Ellerbe Creek;PRIVATE
3106;00749-PP1;111B.415-PP1;4326 SURLES CT;9.89999;4.09999;3.5;345.22;329.79;42;;2001-11-20 15:25:15+00:00;CONCRETE;CIRCULAR;9.251;City;166.7800192;Stirrup Iron Creek;PRIVATE
3294;01033-PP1;13D.62-PP1;ANGIER AVE 2000;6.69999;7;3.5;379.79998;380.17999;;4;2010-04-01 15:40:59+00:00;CONCRETE;BOX;-4.213;City;9.015985803;Ellerbe Creek;DOT-ROW
8428;12402-PP1;36C.305-PP1;ABBEY PL & BARCELONA AV;6;6.19999;3.5;260.61999;260.36999;42;;2002-07-30 10:49:56+00:00;CONCRETE;CIRCULAR;0.745;City;33.51458488;Third Fork Creek;CITY-ROW
7998;15502-PP1;39A.586-PP1;HWY 147 @ 15-501;3.59999;10.3;3.5;384.77999;374.25;42;;2007-11-16 17:29:37+00:00;METAL-CORRUGATED;CIRCULAR;5.248;City;200.6100297;Sandy Creek;DOT-ROW
8231;02951-PP1;15B.502-PP1;KINGS PARK COMMUNITY;7.69999;11.19999;3.5;284.92001;280.64999;42;;2013-02-28 16:16:44+00:00;METAL-CORRUGATED;CIRCULAR;1.291;City;330.4686276;Third Fork Creek;PRIVATE
9722;16581-PP1;411B.593-PP1;PARLIAMENT CT & SLATER RD;10.39999;13.5;3.5;362.48001;360.85998;42;;2003-03-12 09:16:08+00:00;CONCRETE;CIRCULAR;0.832;City;194.5646723;Stirrup Iron Creek;PRIVATE
9268;11832-PP1;34D.3313-PP1;APTS OFF RIPPLING STREAM RD;7.8;4.8;3.5;282.52999;278.98001;42;;2002-04-30 17:40:20+00:00;CONCRETE;CIRCULAR;3.739;City;94.93129568;Eno River;PRIVATE
9878;14141-PP1;38X.3204-PP1;SOUTHPOINT MALL;6;6.69999;3.5;292.92001;292.32;42;;2002-10-11 12:44:15+00:00;METAL-CORRUGATED;CIRCULAR;0.824;City;72.84855867;New Hope Creek;PRIVATE
9027;14167-PP1;38X.3230-PP1;SOUTHPOINT MALL @ SEARS AUTO CTR;10.5;9.5;3.5;273.42001;273.02999;42;;2006-09-06 17:43:01+00:00;CONCRETE;CIRCULAR;0.752;City;51.8436351;New Hope Creek;PRIVATE
